Activity,Subject,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tGravityAccMag-mean(),tGravityAccMag-std(),tBodyAccJerkMag-mean(),tBodyAccJerkMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroJerkMag-mean(),tBodyGyroJerkMag-std(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-mean(),fBodyAccMag-std(),fBodyBodyAccJerkMag-mean(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-mean(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-mean(),fBodyBodyGyroJerkMag-std()
Standing,2,-0.187649608,-0.285569575,0.219581423,-0.080985116,-0.172634049,-0.622274155,0.064316546,-0.043145889,-0.069690131,-0.018731688,0.000880393,-0.014240704,-0.606608045,-0.65369585,-0.710126849,-0.812602697,-0.774691476,-0.788681246,-0.795884304,-0.671670887,-0.52275096,-0.574603722,-0.426368094,-0.053270516,0.070887018,0.093779252,0.016893844,-0.000360453,0.056763898,0.046363204,-0.108686022,-0.096492722,0.009240117,0.04490175,-0.681194255,-0.658695695,-0.605997281,-0.596726065,-0.197477427,-0.066271389,-0.178714818,0.008038059,-0.104754106,-0.145865057,-0.267117592,-0.343895896,-0.482144365,-0.492737632,-0.526667409,-0.612945909,-0.61723153,-0.672861914,-0.802843949,-0.910037114,-0.843265843,-0.813484691,-0.828711733,-0.846485868,-0.809519139,-0.83686576,-0.844036587,-0.794688345,-0.776292062,-0.785762513,-0.565987791,-0.569840829
Laying,2,-0.230755631,-0.316562268,0.085261465,-0.125340708,-0.153061757,-0.636669328,0.104230015,0.165328694,-0.032980292,0.053489091,0.209228895,-0.02943315,-0.573476563,-0.763791115,-0.853360401,-0.859980946,-0.745791598,-0.808796782,-0.782242098,-0.753234503,-0.227168217,-0.291523851,0.242152014,0.125796205,-0.059338072,-0.007219666,-0.020330359,-0.165837359,-0.017633927,-0.042999817,0.049947804,-0.098751188,-0.033731575,-0.064035815,-0.603378383,-0.534322614,-0.581627134,-0.639270405,0.047008521,0.160589047,-0.022546543,-0.077960885,-0.102167882,-0.169328645,-0.262662801,-0.300527857,-0.402003495,-0.505123143,-0.510274257,-0.672118738,-0.562120229,-0.765827521,-0.882223952,-0.923731357,-0.914964115,-0.92739373,-0.867221017,-0.926465416,-0.929638297,-0.901941758,-0.918419295,-0.93368522,-0.827434867,-0.819231065,-0.53768671,-0.458956172
Walking,3,-0.170695409,-0.271906696,0.116595666,-0.09615049,-0.132150691,-0.491038136,-0.052880783,0.032550092,0.097446814,0.072476823,0.015184301,0.00893376,-0.883422287,-0.862786785,-0.88410433,-0.830668836,-0.743682888,-0.668948545,-0.63706448,-0.608602891,-0.445911052,-0.536500358,-0.36497034,-0.18955051,0.058411199,0.079650704,0.026939095,-0.020327201,-0.086660231,-0.159513133,0.033781277,0.072069928,0.009218131,-0.06564384,-0.510427316,-0.614431779,-0.486418793,-0.615936286,0.069758701,0.094491389,-0.091373522,-0.168007797,-0.34520137,-0.420171602,-0.407894361,-0.454572356,-0.433994858,-0.519866891,-0.486197685,-0.582889588,-0.769800477,-0.521583884,-0.853797821,-0.83686887,-0.819803784,-0.829945895,-0.879424039,-0.853968229,-0.841648584,-0.869419512,-0.872631823,-0.841538988,-0.735588445,-0.691916127,-0.57114227,-0.507615368
Walking Upstairs,3,-0.430231905,-0.167363525,0.155938282,-0.123294704,-0.118198838,-0.568038845,-0.021084806,0.025018093,0.163066632,0.190628886,0.033452518,-0.05591017,-0.748651665,-0.877067464,-0.794558207,-0.800883201,-0.765486679,-0.67692289,-0.720796333,-0.427004681,-0.212267763,0.239359008,0.297715083,0.377301723,0.00464664,-0.015313719,-0.03155238,-0.077671952,-0.180272218,-0.163272965,0.094249593,-0.06206157,-0.093627072,-0.193008019,-0.446885747,-0.496158524,-0.51506504,-0.656830728,0.095452054,0.145525211,-0.145015227,-0.285718279,-0.409413481,-0.214236592,-0.452284548,-0.314168615,-0.394129508,-0.425966948,-0.544121217,-0.553922453,-0.655924168,-0.655999271,-0.88446285,-0.853734468,-0.911974382,-0.853174205,-0.935741925,-0.881647142,-0.887717832,-0.883669341,-0.902085556,-0.858855182,-0.716146577,-0.656823405,-0.549855283,-0.629465557
Walking downstairs,3,-0.089857163,-0.062257278,0.152804653,-0.082614868,-0.129776333,-0.455067465,0.035781451,-0.018644799,-0.051612739,0.207436385,-0.014598589,0.100484853,-0.59240004,-0.712832474,-0.824152616,-0.831917921,-0.880724438,-0.802435044,-0.595898474,-0.769312952,-0.686202205,-0.709896826,-0.565375256,-0.316923736,0.012463315,0.063787527,-0.006494193,0.07152263,-0.010100169,-0.055763552,-0.114934941,-0.074008221,0.011937994,-0.061285325,-0.690066824,-0.725495748,-0.674211933,-0.737955761,0.041552789,-0.075506804,0.090049227,-0.021051526,-0.130344975,-0.083788707,-0.205028118,-0.230880752,-0.412414135,-0.416792927,-0.408742015,-0.476316273,-0.581757011,-0.517556268,-0.846338768,-0.894603151,-0.848165606,-0.858564584,-0.875174544,-0.873692519,-0.847200159,-0.819880784,-0.882034683,-0.803701148,-0.792576444,-0.688264179,-0.480542394,-0.590024995
Sitting,3,-0.371923123,-0.279362899,0.124768634,-0.168801724,-0.221246275,-0.483935393,0.124680233,-0.052725166,-0.092001738,0.057209386,-0.002439937,0.014848442,-0.615331095,-0.700627488,-0.709227975,-0.768300129,-0.51875665,-0.678663303,-0.464094646,-0.311418099,-0.354228721,-0.214084407,-0.069509638,-0.283176115,0.004322076,0.005734368,0.029198266,0.008047983,-0.086186272,-0.274237308,0.000739765,-0.045338788,-0.082703947,-0.125701892,-0.477270851,-0.404729221,-0.576385315,-0.572662211,0.038321034,0.150358926,-0.108496995,-0.203368342,-0.391892602,-0.182841324,-0.358083845,-0.294115614,-0.377117896,-0.392258231,-0.446865999,-0.473895977,-0.451469948,-0.560043201,-0.80037984,-0.799638939,-0.846668198,-0.816533728,-0.794524271,-0.852445584,-0.784030869,-0.89634932,-0.865328277,-0.840657277,-0.718143227,-0.725059481,-0.574304617,-0.567295382
Standing,3,-0.401386502,-0.444603297,0.080111342,-0.143247426,-0.15028798,-0.554530528,0.044093314,0.115406111,-0.117346984,0.03356908,0.173873755,0.015418187,-0.323761047,-0.725049587,-0.837393259,-0.819194077,-0.822753896,-0.855863092,-0.780628477,-0.7772603,-0.720433756,-0.370656733,-0.286249722,0.238398062,0.009039234,-0.099221106,-0.049793227,-0.018953356,-0.020029872,0.012909541,-0.018511186,0.024713921,-0.008367608,-0.044865267,-0.737123962,-0.704764249,-0.464598539,-0.544060074,0.200204863,0.205525816,0.024573399,0.040297018,-0.027907618,-0.114641796,-0.177625323,-0.218960357,-0.486305853,-0.560943627,-0.288000449,-0.403264029,-0.340623187,-0.560778799,-0.89914593,-0.921434019,-0.915159082,-0.892215375,-0.87356745,-0.865810733,-0.952847683,-0.926148527,-0.946202439,-0.95879927,-0.86507608,-0.777987655,-0.518869419,-0.57882024
Laying,3,-0.19532144,-0.270326592,0.078498312,-0.167434931,-0.119766456,-0.288113654,-0.011143947,-0.048839601,-0.002416185,0.006008452,0.015768528,0.072289685,-0.817967789,-0.924906313,-0.793413327,-0.814638955,-0.732213037,-0.594023641,-0.535025545,-0.430917742,-0.262579941,-0.162190133,0.023494364,0.095512761,-0.003297827,0.017726627,-0.003724203,-0.145079545,0.03914415,-0.118615177,0.044728192,-0.016417811,-0.092513367,-0.022336316,-0.400157075,-0.340584979,-0.447332345,-0.430435066,0.216813679,0.133679978,-0.193438442,-0.122399153,-0.123282292,-0.264510362,-0.370299386,-0.346367991,-0.258134259,-0.301861981,-0.365908252,-0.459514647,-0.534471837,-0.394924242,-0.744466444,-0.769610038,-0.772436165,-0.774425905,-0.770470479,-0.761239779,-0.755564067,-0.82077576,-0.753868503,-0.780068751,-0.630815998,-0.596949694,-0.551499952,-0.571577
Walking,4,-0.254466738,-0.517822862,0.00262091,-0.172376874,-0.128387909,-0.345209976,-0.094980394,0.075248401,-0.050044646,-0.040464032,0.010661414,-0.078039112,-0.223074565,-0.15978312,-0.44913648,-0.566527577,-0.59762527,-0.493189344,-0.333405251,-0.201886813,-0.354544916,-0.250992689,-0.16959602,-0.119590841,0.058214815,0.038971643,0.063590557,0.130112279,0.065207761,0.27070613,-0.005475015,-0.319189099,0.013824132,0.068973845,-0.099834418,-0.19975021,0.148343287,0.164199907,0.056477637,0.120676222,0.040484347,0.171984248,0.091332437,0.074909871,0.019396765,-0.007710736,-0.295219461,-0.326394847,-0.546624493,-0.348661262,-0.433131315,-0.237156471,-0.598957851,-0.490835905,-0.678728036,-0.415251643,-0.697503858,-0.499966181,-0.593545319,-0.717550155,-0.600599613,-0.608500375,-0.420796267,-0.595413738,-0.618522795,-0.510301281
Walking Upstairs,4,-0.221659153,-0.537958158,0.02405324,-0.264341936,-0.173070935,-0.397761322,0.198498931,0.002864576,0.135983197,0.04933461,-0.005997922,0.090764765,-0.300169666,-0.45837957,-0.464040608,-0.765429667,-0.898358763,-0.750049562,-0.515002447,-0.5165667,-0.324772077,-0.426346392,-0.234804118,-0.281172774,0.087889091,0.09705113,-0.092233496,-0.104920865,0.039188833,0.057716782,-0.029266648,0.017941027,0.025486515,0.128315432,-0.330036819,-0.377007533,-0.257091522,-0.134574351,-0.180879388,0.023582041,0.066185957,-0.076285243,-0.054715532,-0.125402183,-0.066588885,-0.118287974,-0.331508407,-0.425648048,-0.595363529,-0.566754914,-0.486486766,-0.552837394,-0.784687279,-0.796902535,-0.795572657,-0.826183117,-0.783836197,-0.838856446,-0.86537522,-0.858712276,-0.813877788,-0.827979966,-0.730388238,-0.790210593,-0.62354399,-0.631494994
Walking downstairs,4,-0.406116429,-0.313134846,0.097332939,-0.080619892,-0.104369909,-0.243578629,0.05332933,0.058173708,0.152608903,0.019392109,-0.115209591,0.059450133,0.153057357,-0.322797653,-0.4948953,-0.790848955,-0.89634044,-0.750454016,-0.380971711,-0.356252033,-0.441052276,-0.480551381,-0.535037027,-0.428494098,-0.031054373,-0.062457083,0.029221633,-0.022144081,0.135199154,-0.028507747,-0.034153717,-0.085738185,0.048342241,0.046385809,-0.108869099,-0.331904161,0.328704285,0.1950535,0.207239574,0.152633443,0.174886975,0.070792479,-0.013919519,0.112639018,0.11487013,0.067867897,-0.429949536,-0.518126885,-0.608328184,-0.408858613,-0.637341195,-0.442296571,-0.81879904,-0.716899368,-0.808096691,-0.689050559,-0.768236894,-0.7869952,-0.788930381,-0.762509508,-0.876895588,-0.863786427,-0.611231543,-0.654377773,-0.696591656,-0.674400035
Sitting,4,-0.043412851,-0.249866317,0.146237722,-0.076111456,-0.043676099,-0.583603634,0.08306308,0.058583231,0.015701632,0.058940029,0.050219494,-0.076588668,-0.652183424,-0.84213991,-0.82241045,-0.874561923,-0.830108008,-0.679776491,-0.648160119,-0.601981856,-0.522977466,-0.11789913,-0.084603892,0.305685878,0.093311818,0.08034038,0.06145104,0.008376008,-0.014749523,0.071365404,-0.112687522,-0.019158921,-0.028428079,0.053588675,-0.729455819,-0.686597009,-0.487523307,-0.501072211,0.215862832,0.122415787,0.012264374,0.009652002,-0.135107482,-0.027896228,-0.360141208,-0.347619635,-0.416714232,-0.534711083,-0.487659323,-0.625177941,-0.610365766,-0.720449695,-0.861913545,-0.865870137,-0.882391689,-0.901037394,-0.856053935,-0.913374666,-0.876795168,-0.861955862,-0.863993308,-0.892101987,-0.836302294,-0.821721062,-0.449144609,-0.501704186
Standing,4,-0.011546603,-0.406142912,0.168600201,-0.054599848,-0.089992609,-0.741457347,0.142620943,-0.006164996,0.007814231,0.123133076,-0.033379066,-0.021410202,-0.705673112,-0.876902532,-0.927639893,-0.767682051,-0.685627257,-0.629837592,-0.703897702,-0.414977277,-0.35739679,-0.040274026,0.041913632,0.256935862,0.140563825,0.049990113,0.043941801,0.061728496,0.031080266,-0.004137721,0.035518026,-0.022682314,-0.086732946,0.021532136,-0.7921099,-0.716030514,-0.697703387,-0.822156208,-0.022766417,0.078696351,-0.101574263,-0.127794863,-0.185999416,-0.364848634,-0.417297744,-0.41716427,-0.462735457,-0.643712213,-0.564249407,-0.717821282,-0.652569407,-0.740442843,-0.903340529,-0.857703051,-0.895365387,-0.917620233,-0.925600887,-0.923969241,-0.935394496,-0.902612949,-0.927328615,-0.921149153,-0.823079048,-0.830928256,-0.472024475,-0.428950867
Laying,4,-0.286021704,-0.209284659,0.125141382,-0.06071203,-0.147443145,-0.634421523,0.003890171,-0.006541177,0.041462356,0.04798075,-0.012957558,-0.045326689,-0.589001592,-0.628619991,-0.65367921,-0.661541695,-0.613434509,-0.59918324,-0.578479435,-0.08641627,0.144027341,0.247100261,0.310248672,0.312919041,0.111168494,0.023562671,0.032628755,0.058782359,-0.033337373,-0.091780089,0.059470816,-0.156629623,-0.157167654,-0.166998495,-0.413475588,-0.248176962,-0.510196613,-0.533086827,-0.001235616,0.016658769,-0.232215279,-0.159968326,-0.307628796,-0.338525457,-0.343846198,-0.472694843,-0.526163483,-0.657973433,-0.692415179,-0.718987083,-0.760778557,-0.632006262,-0.775168501,-0.795224647,-0.770437794,-0.747082538,-0.784803612,-0.809791175,-0.792086896,-0.771785736,-0.850826997,-0.856530452,-0.700593303,-0.754278206,-0.417598138,-0.413222122
Walking,5,-0.486940322,-0.322492529,0.100704137,-0.157781102,-0.138503339,-0.453410553,0.040808469,0.005583461,-0.076352012,0.100029599,-0.031493398,-0.041703734,-0.819349613,-0.676555917,-0.671150542,-0.737647337,-0.539754814,-0.585638652,-0.618656134,-0.333729109,-0.044882764,0.254138602,0.360119607,0.466635407,0.047420362,0.009188748,-0.030837073,-0.136587287,-0.253244381,-0.151572865,-0.011018366,-0.087639993,-0.02167077,-0.130272609,-0.40588928,-0.275224163,-0.560194789,-0.466223598,0.051594083,-0.068294715,-0.239433915,-0.231399889,-0.242616927,-0.316437463,-0.467532539,-0.41521129,-0.476403254,-0.596887221,-0.725368819,-0.718562345,-0.725647817,-0.68516232,-0.823260552,-0.841881761,-0.788006247,-0.831570937,-0.812802359,-0.833125025,-0.876852174,-0.783846622,-0.853851627,-0.831458753,-0.728124304,-0.739677738,-0.47688391,-0.413814042
Walking Upstairs,5,-0.316676494,-0.188382173,0.106885869,-0.124690652,-0.138999212,-0.246563633,-0.067528558,0.068888868,0.193250371,-0.056828529,-0.039664311,0.01132579,-0.852384965,-0.856368151,-0.8110765,-0.863635471,-0.829635882,-0.488245925,-0.481712043,-0.499261863,-0.39465207,-0.050305903,0.146158286,0.061344997,-0.09121846,-0.027280044,-0.015508537,0.072105626,-0.04826042,-0.048433985,-0.015428484,-0.03186877,-0.024146477,-0.105061974,-0.488323269,-0.35367716,-0.53646965,-0.615440266,0.137749242,-0.062493203,-0.108425139,-0.13766645,-0.133099994,-0.053983571,-0.143782369,-0.140118403,-0.313737224,-0.396291546,-0.226315044,-0.263970576,-0.190400663,-0.211727388,-0.734739492,-0.833238935,-0.816774114,-0.854455607,-0.844434651,-0.8663412,-0.803795683,-0.807011047,-0.857503242,-0.877343465,-0.596964,-0.622798584,-0.594199206,-0.306305571
